"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
British Virgin Islands,92,Around 1995,1995,,283,15.5,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
British Virgin Islands,92,Around 2005,2003,,269,12.6,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
British Virgin Islands,92,Latest,2004,,316,14.6,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Brunei Darussalam,96,Around 1970,1971,,"5,181",39.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Brunei Darussalam,96,Around 1985,1985,,"6,682",30.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Brunei Darussalam,96,Around 1995,1996,,"7,633",25.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Brunei Darussalam,96,Around 2005,2004,,"7,163",20.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Brunei Darussalam,96,Latest,2008,,"6,424",16.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Bulgaria,100,Around 1970,1970,,"138,745",16.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Around 1985,1985,,"118,955",13.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Around 1995,1995,,"71,967",8.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Around 2005,2005,,"71,075",9.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Latest,2011,,"70,846",9.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
